user_id,diet_type,smoker,alcohol_consumption,stress_level,sleep_hours,water_intake_liters,exercise_frequency,skincare_routine_level,satisfaction_score,perceived_improvement_score
HSP20211409,Vegetarian,False,Rare,8,4.3,2.5,None,0,4,4
HSP20235012,Vegan,True,Rare,6,7.3,2.6,None,2,4,2
HSP20223286,Vegan,False,Regular,3,6.4,1.7,None,1,4,3
HSP20219935,Mixed,False,None,3,6.8,2.0,None,3,2,0
HSP20217912,Keto,True,None,9,3.9,3.2,None,1,4,4
HSP20211488,Keto,True,None,3,7.7,2.5,Daily,1,2,2
HSP20214582,Keto,False,None,3,6.8,3.1,1–2x/week,3,3,3
HSP20229279,Vegetarian,False,Rare,3,6.8,3.0,None,1,3,1
HSP20251434,Vegetarian,False,Rare,9,6.1,3.3,None,0,2,0
HSP20254257,Vegan,False,None,4,6.9,2.6,1–2x/week,3,2,2
HSP20257873,Vegetarian,False,None,8,5.0,2.7,Daily,2,4,3
HSP20228359,Keto,False,None,9,5.5,2.1,3–5x/week,0,4,2
HSP20255557,Vegetarian,True,None,7,5.5,1.9,1–2x/week,0,3,3
HSP20213615,Vegetarian,False,Rare,4,9.0,3.3,Daily,0,1,0
HSP20246574,Vegetarian,True,None,2,8.8,1.8,3–5x/week,1,3,3
HSP20233547,Vegetarian,True,None,6,6.6,1.7,3–5x/week,0,2,2
HSP20226514,Vegetarian,False,Regular,8,5.7,1.9,None,0,3,3
HSP20212519,Vegetarian,True,None,3,8.0,2.3,Daily,3,3,1
HSP20242584,Keto,False,None,5,7.8,2.9,1–2x/week,2,2,1
HSP20236635,Vegetarian,True,None,2,9.3,1.6,None,2,4,3
HSP20255333,Vegan,True,None,8,8.0,3.2,None,2,4,4
HSP20218527,Vegan,False,Rare,3,5.3,3.1,1–2x/week,0,4,3
HSP20253045,Vegan,True,None,7,6.9,2.4,Daily,0,3,2
HSP20242291,Vegan,True,None,2,5.5,2.1,Daily,1,2,0
HSP20255803,Keto,True,None,6,9.0,2.5,Daily,2,3,2
HSP20256925,Keto,False,None,7,7.4,2.0,None,3,1,1
HSP20254150,Keto,True,None,9,5.6,3.1,None,2,4,3
HSP20211750,Keto,True,None,2,4.9,2.3,1–2x/week,0,4,3
HSP20225741,Vegan,True,None,4,6.5,2.6,Daily,2,1,0
HSP20214814,Vegan,False,Rare,8,6.3,2.7,None,1,5,5
HSP20217227,Vegan,False,Rare,8,7.3,2.9,Daily,1,4,4
HSP20238428,Vegan,True,None,8,5.3,2.3,3–5x/week,1,1,0
HSP20233664,Keto,True,None,3,7.9,3.0,1–2x/week,2,2,0
HSP20236820,Keto,False,None,4,4.9,2.7,3–5x/week,1,2,0
HSP20225374,Keto,False,Rare,8,4.1,2.5,None,2,5,3
HSP20213803,Keto,True,None,7,8.8,1.9,3–5x/week,1,3,3
HSP20255010,Vegan,True,Rare,4,5.5,3.0,Daily,1,5,4
HSP20228573,Vegetarian,False,None,9,4.6,2.1,Daily,2,1,0
HSP20245422,Mixed,False,None,2,7.2,2.1,Daily,3,4,2
HSP20254598,Vegan,False,None,8,6.2,2.9,None,0,2,0
HSP20231916,Vegan,True,Rare,9,7.0,2.7,1–2x/week,3,2,1
HSP20221525,Mixed,True,None,4,6.1,2.7,1–2x/week,1,4,4
HSP20237572,Vegetarian,True,Rare,7,6.4,2.8,Daily,3,5,5
HSP20232084,Keto,True,None,2,5.9,2.4,3–5x/week,1,5,3
HSP20226155,Vegan,True,None,8,5.3,2.5,1–2x/week,0,3,3
HSP20229179,Vegetarian,False,Regular,2,5.5,1.8,1–2x/week,1,2,2
HSP20248517,Mixed,False,Regular,2,6.8,2.6,None,2,2,0
HSP20225339,Keto,False,None,3,7.4,2.2,None,3,5,5
HSP20225040,Vegetarian,False,None,2,7.0,2.8,1–2x/week,0,4,4
HSP20259830,Keto,True,Rare,2,7.0,2.0,None,2,5,5
HSP20238019,Mixed,True,None,9,6.7,2.7,1–2x/week,2,3,2
HSP20257543,Mixed,True,Rare,9,6.5,1.2,1–2x/week,2,4,3
HSP20234593,Mixed,True,None,2,6.7,3.8,Daily,2,3,3
HSP20229348,Mixed,False,Rare,7,6.1,2.1,None,1,5,5
HSP20242489,Mixed,False,Rare,9,6.9,2.7,1–2x/week,0,2,0
HSP20212796,Vegetarian,False,None,2,7.9,1.7,3–5x/week,3,1,1
HSP20223621,Keto,False,None,7,7.4,2.9,1–2x/week,3,2,0
HSP20242040,Vegan,False,Regular,9,6.3,2.7,3–5x/week,2,1,0
HSP20247252,Vegetarian,False,None,2,7.7,3.0,Daily,3,3,2
HSP20258668,Vegetarian,True,None,2,5.1,3.0,None,1,5,5
HSP20255119,Mixed,True,Rare,7,6.4,2.5,3–5x/week,1,5,5
HSP20251188,Vegan,False,None,2,6.6,2.4,1–2x/week,1,2,1
HSP20219797,Mixed,True,None,2,7.9,2.4,1–2x/week,1,3,3
HSP20236573,Vegetarian,True,Rare,7,5.2,2.3,3–5x/week,0,1,0
HSP20215808,Mixed,False,None,2,6.7,3.2,1–2x/week,3,5,3
HSP20243591,Vegan,True,Rare,5,7.2,2.0,1–2x/week,1,3,3
