user_id,recommendation_type,recommended_product,product_type,target_issue,confidence_score,accepted_by_user,compliance_rate,followup_result_score,days_until_followup
HSP20211409,Haircare,Suscipit Supplement,Oil,Hair Thinning,0.88,False,0.92,0,82
HSP20235012,Haircare,Quam Serum,Cleanser,Wrinkles,0.84,False,0.88,5,46
HSP20223286,Lifestyle,Repellat Tool,Oil,Hair Thinning,0.82,False,0.37,4,68
HSP20219935,Lifestyle,Excepturi Cleanser,Serum,Hair Thinning,0.72,False,0.34,1,14
HSP20217912,Diet,Dicta Cleanser,Oil,Acne,0.81,False,0.54,5,33
HSP20211488,Lifestyle,Illum Tool,Cleanser,Dryness,0.91,False,0.82,4,17
HSP20214582,Lifestyle,Nobis Supplement,Cleanser,Dryness,0.71,True,0.45,0,24
HSP20229279,Lifestyle,A Supplement,Oil,Hair Thinning,0.78,True,0.68,0,69
HSP20251434,Lifestyle,Sint Cleanser,Serum,Hair Thinning,0.74,True,0.39,4,71
HSP20254257,Lifestyle,Libero Cleanser,Oil,Acne,0.97,False,0.86,5,51
HSP20257873,Haircare,Excepturi Oil,Serum,Wrinkles,0.75,True,0.58,1,31
HSP20228359,Skincare,Rem Oil,Cleanser,Pigmentation,0.8,False,0.85,3,33
HSP20255557,Diet,Nesciunt Oil,Oil,Pigmentation,0.85,False,0.39,4,44
HSP20213615,Haircare,Ea Tool,Tool,Pigmentation,0.91,True,0.58,0,45
HSP20246574,Skincare,Vel Serum,Cleanser,Dryness,0.78,False,0.56,1,9
HSP20233547,Haircare,Velit Cleanser,Supplement,Hair Thinning,0.84,True,0.54,5,63
HSP20226514,Diet,Blanditiis Oil,Cleanser,Pigmentation,0.77,True,0.58,5,36
HSP20212519,Diet,Qui Oil,Serum,Acne,0.71,True,0.84,0,38
HSP20242584,Skincare,Magni Oil,Tool,Pigmentation,0.75,False,0.33,1,15
HSP20236635,Diet,Atque Cleanser,Serum,Acne,0.89,True,0.84,5,27
HSP20255333,Skincare,Qui Oil,Oil,Hair Thinning,0.94,True,0.65,1,88
HSP20218527,Lifestyle,Quisquam Oil,Oil,Wrinkles,0.76,True,0.82,3,90
HSP20253045,Diet,Quae Oil,Cleanser,Hair Thinning,0.9,True,0.47,5,38
HSP20242291,Haircare,Quae Oil,Supplement,Hair Thinning,0.96,False,0.37,2,8
HSP20255803,Haircare,Quod Cleanser,Oil,Hair Thinning,0.98,True,0.9,5,29
HSP20256925,Diet,Adipisci Serum,Cleanser,Wrinkles,0.9,False,0.96,1,51
HSP20254150,Haircare,Molestias Serum,Cleanser,Dryness,0.91,False,0.43,5,50
HSP20211750,Haircare,Optio Oil,Supplement,Wrinkles,0.83,False,0.35,0,81
HSP20225741,Diet,Aperiam Serum,Cleanser,Acne,0.81,False,0.82,3,71
